bootstrap,success,mu,sigma,a
442,True,0.04656517858726441,1.2739047280627904,0.9239077984470643
443,True,0.05346900909347139,1.27154493061183,0.8640278227978921
444,True,0.08650798934765147,0.9516701210120282,0.950000000000027
445,True,0.0777665596078258,1.037384117950129,0.9500000000000053
446,True,0.3261252922909613,1.279160552377446,0.9512218000607537
447,True,0.07382875997696724,0.9915288169090726,0.9976042416823054
448,True,0.12393302225728148,1.2726770788313684,0.8792597498003382
449,True,-0.01642953792780351,1.2650872396823032,0.9139896102597366
450,True,0.0485347792536604,0.9920133633336525,0.9966950987278224
451,True,0.400216090774796,1.2598901232931088,0.9576548375940165
452,True,0.07169684470688016,0.9512620933987167,0.9954049601037318
453,True,0.03702961461332615,0.9959286923296886,0.999
454,True,-0.07124702505441212,1.3937955418220136,0.5597096469383991
455,True,-0.2190798583461438,1.2942917028561616,0.999
456,True,-0.9305535008223536,1.3496033947975967,0.49988139729709297
457,True,-0.017852502042847034,1.2996050516328788,0.8695771857271014
458,True,0.019379705820255215,1.2979459107490585,0.8952974167695597
459,True,0.029230418665603868,1.2521180083797012,0.960386610040591
460,True,0.051788108169864025,0.9745510010658137,0.9749070288028124
461,True,-0.32759610598867517,1.298374968554492,0.7776792446647708
462,True,-0.0621071334163296,1.244962627240235,0.999
463,True,0.13819104499190782,1.4474176692903078,0.5298863253279975
464,True,0.18208735705985066,1.3276668567139334,0.80639025545007
465,True,-0.2131855394692806,1.2914082337875552,0.739758479546845
466,True,0.03852776572442931,0.9386819160051255,0.9959454650408167
467,True,0.08137275837200932,0.9677145716534608,0.996114499375649
468,True,-0.07910187689032908,1.254917465952434,0.8896727109723346
469,True,-0.05121008535889972,1.5871999683496945,0.8824676387242342
470,True,-0.022239524255021306,1.3605188223073765,0.6108471439137311
471,True,0.06325462328908488,0.8932814890927931,0.9959521023808107
472,True,0.06301999695797696,0.9508682184963572,0.999
473,True,0.0524456815479011,1.0615475163229036,0.9562353280341448
474,True,-0.1201662133227923,1.2891100653132812,0.999
