replication,success,a_hat,m_hat,b_hat,loglik
210,True,2.3755757882767657e-05,2.000786920418202,2.021760925690274,-390.8098318272753
211,True,0.4467857985069896,0.4554696530922567,2.571465222032467,-371.6589501231542
212,True,0.43621858262155877,0.44427424314447206,2.411138445040315,-365.0466116437069
213,True,0.9740856206803158,1.1575214021511686,1.5282048570200046,-379.58012251098285
214,True,0.3492196548089701,1.5086707811522349,1.5566674516052044,-370.7591362436272
215,True,0.08636825370522519,1.5146272136104313,1.5277280086518898,-359.56486162265765
216,True,0.5827447845774427,0.5948267208547523,2.1107920821573405,-365.7703564315198
217,True,1.1797125536074549,1.226745585684996,1.2759921613547125,-380.32249153282396
218,True,0.03873297508406126,1.923987109419558,1.9714708538769186,-387.96245692000383
219,True,1.1154927676146282,1.1574151033342466,1.1853392590702039,-372.52072235448185
220,True,0.6908498896447098,0.7061893452900582,1.9714037244851195,-369.0004357137738
221,True,0.13455170059182242,1.7521116801510452,1.7832264825902306,-379.54680703047785
222,True,0.6068380504695294,0.6174913005749163,3.267944175904184,-404.22347338749296
223,True,1.0703111001046597,1.1529239003332008,1.1837945892780308,-370.65779019042924
224,True,0.8593201175286467,0.8802056078269409,1.4604647019167958,-362.7912820119851
225,True,0.02491923939683381,1.0486359335284474,2.807260944212775,-385.4944031243121
226,True,0.513077630955389,0.5230152466607848,2.880854548522146,-386.79713921749516
227,True,1.0758643325416704,1.1318621527316037,1.1926995665524276,-370.44756133911824
228,True,0.6969614223851693,0.7066818395165333,2.415433688495696,-384.3601201413768
229,True,0.2394536215849968,2.0214534265561612,2.051067720325638,-399.79771716386824
230,True,1.278626944850951,1.3132531335018052,1.345259493422343,-388.9505456260491
231,True,0.7106790995841719,1.5379345014280161,1.5683886888802974,-384.8095393732622
232,True,0.5149668625895145,0.5266025607825319,2.9304085517401903,-388.59803151359966
233,True,0.17278065525536593,0.17566468221185316,3.137969038194218,-369.4847398650553
234,True,1.0088035496531016,1.0506936929853676,1.0674512970022656,-360.2936204523138
235,True,0.662846487349322,0.6800857479208782,2.716297679175504,-391.82650556513977
236,True,1.0449228204278915,1.0901109644192228,1.1022471340918936,-363.97634370257805
237,True,0.5087827858036879,0.9989991533720077,1.7029920356914636,-363.111368982587
238,True,9.999999999999997e-06,0.6882423378138115,2.7508719714478236,-369.716198305722
239,True,0.3854070537930409,0.3943571834182045,3.3959772996493736,-393.94752460155263
240,True,9.999999999999997e-06,1.1190505254636576,2.3135449953318235,-370.5173555199147
241,True,1.2273986480609256,1.2601896518996836,1.2624802983099699,-382.22760949901703
242,True,1.1156382646590386,1.2155944926969802,1.258256977861307,-377.2551285225437
